ticker,n_obs,corr,cov,alpha,beta,r2,adj_r2,f_stat,f_pvalue,jb_stat,jb_pvalue,skew,kurt,dw_stat,coint_t,coint_p,adf_stat,adf_p,half_life,z_mean,z_std,z_current,z_gt1,z_gt2,z_lt_1,z_lt_2,score,rating,base
XRP-USD,2289,0.8940564712691351,22493.047429875543,-0.18080215887590262,2.2870502319838028e-05,0.7993369738182179,0.7992492330984182,9110.216734527816,0.0,272.9101965027061,5.473987506546304e-60,-0.7395622772265661,0.8269222396200564,0.018248300702827316,-3.0820689544557736,0.09196130767358018,-3.4810942997277667,0.008486116766026477,75.45331679322689,2.4833297885892536e-17,1.0000000000000002,-0.23109366307879148,0.09305373525557012,0.013543031891655745,0.1564001747487986,0.07295762341633902,71,Fair,BTC-USD
DOGE-USD,2289,0.7683642732741851,89.37819270090014,-0.02021023143263491,6.673263179860663e-05,0.5903836564441665,0.5902045500412125,3296.273314113421,0.0,5464.96267149883,0.0,2.104829635445608,6.309384239111154,0.028536446567015296,-3.059808485236032,0.09666392069157043,-3.8165641296846635,0.002742316952087075,48.754003544111384,3.7249946828838804e-17,0.9999999999999999,-0.5341753390484392,0.1380515508955876,0.05897771952817824,0.06290956749672345,0.0,70,Fair,ETH-USD
ICP-USD,1794,0.2705770387540421,6453.305240302791,-5.9945510856656705,0.008083314814770025,0.07321193390090619,0.07269475306044904,141.55964060115147,1.796284459090702e-31,464821.1748612586,0.0,7.211537310987165,77.74834988980578,0.025175746910054708,-3.2584256251286567,0.06068833801004932,-3.413179306657658,0.010517711330245854,8.564028908069798,3.1685294794207366e-17,0.9999999999999999,-0.3763367459549562,0.07469342251950947,0.021181716833890748,0.00947603121516165,0.0,65,Weak,ETH-USD
FTM-USD,1840,0.7526898629930354,526.66160640931,-0.26579229328665493,0.0003984881512258256,0.5665420298524746,0.5663061985303051,2402.3188465410963,0.0,3465.293760741094,0.0,1.9336318849245127,5.519895767956367,0.019218947681651298,-3.014724257756705,0.10674690553242422,-3.785966026797375,0.003054209168454554,72.51600627777918,-6.178632484870436e-17,1.0,-0.71387147106293,0.08206521739130435,0.059782608695652176,0.0983695652173913,0.0,64,Weak,ETH-USD
MKR-USD,2289,0.7315293631312834,757999.7898709987,323.63813666484873,0.5659470095816017,0.5351352091232611,0.5349319451132581,2632.7100853491165,0.0,2395.5110949984323,0.0,1.473997491283861,4.065811481259418,0.01935844998281388,-3.0853051791711033,0.09129253363152245,-3.311114457034224,0.014388909216409526,71.8279644808965,-2.4833297885892536e-17,1.0,0.37437175743429024,0.1288772389689821,0.047182175622542594,0.12494539100043688,0.004805591961555264,62,Fair,ETH-USD
SOL-USD,2189,0.8540411184536597,68400.77043164596,-40.9297314288687,0.05647995279010596,0.7293862320095782,0.7292624945756548,5894.628722147674,0.0,26.45052753327462,1.8044336790340625e-06,0.126123455312333,0.4797127915812647,0.015016042555682922,-3.290101348660737,0.05610725607286186,-2.839132863502382,0.05289767678230351,90.24243826210999,2.5967756446234817e-17,1.0,-0.0010407068329287802,0.14801279122887162,0.035175879396984924,0.1585198720877113,0.01735952489721334,59,Fair,ETH-USD
APT-USD,1311,0.4112106134895777,9.482741201795719,-0.02497971737123081,1.4527881288387556e-05,0.16909416864647475,0.1684594048333704,266.38911222667804,1.186773184962468e-54,73253.546738121,0.0,4.769084393977048,35.49879731446943,0.012239791450301284,-2.682378029672685,0.2059804852188788,-3.3915445358228893,0.011250517285847009,15.70091592911935,4.3358824455231135e-17,1.0,-0.40193381461722705,0.060259344012204424,0.028985507246376812,0.05186880244088482,0.0,49,Weak,ETH-USD
BNB-USD,2289,0.9136840287375504,7547090.467120202,26.86275459408129,0.007673737877200356,0.8348185043700809,0.8347462780930237,11558.376513141096,0.0,27.14931765524057,1.272332373038848e-06,-0.21539821930339484,-0.31320848311816807,0.014788457787863587,-2.6735144152825625,0.2092487169414976,-2.8971220083292573,0.04568369377885656,93.03575616296935,-3.104162235736567e-18,1.0,0.39226387608354607,0.13892529488859764,0.010921799912625601,0.14591524683267804,0.025775447793796417,48,Weak,BTC-USD
DOGE-USD,2289,0.6670097984055118,2102.501232783197,0.021249966208967807,2.1377832182029266e-06,0.4449020711689614,0.4446593523544311,1832.993754644543,1.2148883953495078e-294,6781.116305554058,0.0,2.1997883322710585,7.213407491386651,0.023371985772594788,-2.361964597634439,0.34307434719816815,-3.8826968937056408,0.0021659438241629575,60.332234199241405,0.0,0.9999999999999999,-1.0686206099697662,0.13411970292704237,0.057667103538663174,0.07951070336391437,0.0,43,Weak,BTC-USD
APT-USD,1311,-0.04050111849170293,-30.904214788006723,0.011328924713901272,-4.32438020030699e-08,0.0016403405990789155,0.0008776517836465159,2.1507337801316573,0.14274195595843855,101390.35583807355,0.0,5.797580696049143,41.65999059884864,0.007736470283061362,-0.020408364888345867,0.9854147830517189,-5.426073154929405,2.98526274994094e-06,15.979208743305326,-8.671764891046227e-17,0.9999999999999999,-0.23193077224405056,0.06636155606407322,0.038901601830663615,0.0,0.0,42,Weak,BTC-USD
