ticker,n_obs,corr,cov,alpha,beta,r2,adj_r2,f_stat,f_pvalue,jb_stat,jb_pvalue,skew,kurt,dw_stat,coint_t,coint_p,adf_stat,adf_p,half_life,z_mean,z_std,z_current,z_gt1,z_gt2,z_lt_1,z_lt_2,score,rating
DOGE-USD,2352,0.7675953509052565,87.01325748224095,-0.020771738705414967,6.669354433696543e-05,0.5892026227313641,0.5890278153367818,3370.581800266087,0.0,6016.542657282902,0.0,2.148342719285448,6.570541284373249,0.028451273269319562,-3.124588473925022,0.08347022990580255,-3.8861842529321455,0.0021389091269857,48.69189885356495,6.042030065987247e-17,0.9999999999999999,-0.05764152820687408,0.13562925170068027,0.05824829931972789,0.061224489795918366,0.0,71,Fair
ICP-USD,1857,0.27544162048796605,6397.5725538484385,-6.6481187226327885,0.008220591293432906,0.07586808629703679,0.07536990197698124,152.28918944816215,1.1044145538458119e-33,509590.0274371666,0.0,7.311059165612907,80.04663841661534,0.025061312488120668,-3.2722370864439796,0.05865497024914851,-3.502918457244974,0.007912457478665012,8.593633128310074,3.061034941346689e-17,0.9999999999999999,-0.17903621998886993,0.07377490576198169,0.02046311254711901,0.012385568120624663,0.0,66,Weak
FTM-USD,1840,0.7526898629930354,526.66160640931,-0.26579229328665493,0.0003984881512258256,0.5665420298524746,0.5663061985303051,2402.3188465410963,0.0,3465.293760741094,0.0,1.9336318849245127,5.519895767956367,0.019218947681651298,-3.014724257756705,0.10674690553242422,-3.785966026797375,0.003054209168454554,72.51600627777918,-6.178632484870436e-17,1.0,-0.71387147106293,0.08206521739130435,0.059782608695652176,0.0983695652173913,0.0,64,Weak
MKR-USD,2352,0.7312905945099909,738345.7666854952,328.2181439625707,0.5659240620488208,0.534785933618776,0.5345879701862735,2701.4379719427284,0.0,2548.6247895994775,0.0,1.4673736560192325,4.183321951477398,0.019563947728300037,-3.0353734559327137,0.10203474520014622,-3.3615430056892985,0.012341849612593539,70.93840887854007,-4.833624052789797e-17,1.0,0.23564859615705686,0.12585034013605442,0.047193877551020405,0.125,0.00467687074829932,61,Weak
SOL-USD,2252,0.8539386052119855,66532.41001624515,-40.793260489555394,0.056446414300904704,0.729211141471391,0.7290907908676005,6059.056776655699,0.0,35.950980280984744,1.5607876590111327e-08,0.12366168220127007,0.5714248074496848,0.015054259767299835,-3.319072262040232,0.052167742564725506,-2.8735075979588234,0.04851657511006274,90.36234410709699,-5.04826100007176e-17,1.0,0.35656394324202756,0.14520426287744229,0.03463587921847247,0.1558614564831261,0.017317939609236235,60,Fair
APT-USD,1311,0.4112106134895777,9.482741201795719,-0.02497971737123081,1.4527881288387556e-05,0.16909416864647475,0.1684594048333704,266.38911222667804,1.186773184962468e-54,73253.546738121,0.0,4.769084393977048,35.49879731446943,0.012239791450301284,-2.682378029672685,0.2059804852188788,-3.3915445358228893,0.011250517285847009,15.70091592911935,4.3358824455231135e-17,1.0,-0.40193381461722705,0.060259344012204424,0.028985507246376812,0.05186880244088482,0.0,49,Weak
NEAR-USD,2065,0.5078463967686543,1595.0014356207378,-0.22796912986957388,0.0017726994441417195,0.25790796271090544,0.25754824771464313,716.9786230509345,8.23178075116629e-136,2458.822523000215,0.0,1.6141663165703943,4.275892904735285,0.014241568879172536,-2.900532288094738,0.13578115548714287,-3.1749725176964847,0.02147984783221142,97.22552519229916,5.505415870296176e-17,1.0,-0.18131423589170287,0.09636803874092009,0.0585956416464891,0.09491525423728814,0.0,40,Weak
BCH-USD,2352,0.59197546633579,125539.8529546612,151.74500293454085,0.09622324219727832,0.350434952743476,0.350158542085069,1267.8054991187762,1.8850622096225176e-222,3524.8047478005424,0.0,1.4381221115388596,5.277331691189875,0.02140662833791087,-2.6890659220385524,0.2035358280009058,-2.9104464969024706,0.04414662831393089,65.30269071477294,7.250436079184695e-17,0.9999999999999999,-0.707201736653839,0.12755102040816327,0.025510204081632654,0.1636904761904762,0.0,37,Weak
HBAR-USD,2352,0.6925461840998202,77.22616898377464,-0.0017133092655318913,5.9191979177937906e-05,0.47962021711122205,0.47939877890573745,2165.93255017417,0.0,456.8928767949874,6.123114681282433e-100,0.8755314433659908,1.2701046666690692,0.016251366283065217,-2.7151934735088057,0.19416184078109844,-2.7341622686490945,0.06831095520146406,85.40603685571638,-4.833624052789797e-17,0.9999999999999999,-0.22515046012533105,0.14625850340136054,0.041666666666666664,0.11352040816326531,0.0,34,Weak
ARB-USD,2352,-0.07923576318507365,-21.599844717592546,0.09673186096169352,-1.6555755330023608e-05,0.006278306167521008,0.005855445872273157,14.847234980623796,0.00011970154400391117,21819.69314721114,0.0,3.7946661099405805,12.880028386861884,0.022071325000317152,-2.4638860850855804,0.2952243060069717,-3.440964781707721,0.00963917628088789,62.720129758660484,2.4168120263948985e-17,1.0,-0.2895057376430048,0.05994897959183673,0.05994897959183673,0.0,0.0,33,Weak
ETC-USD,2352,0.5768005155649121,9948.360058698872,5.549756708971825,0.007625175885299368,0.3326988347559485,0.3324148768132915,1171.6482787656105,1.0793877908008595e-208,9153.160929224385,0.0,2.129579620722215,8.697565922055123,0.020008883287081832,-2.4169440395331656,0.31687243316207425,-2.9509541713026124,0.03973550231563713,70.41886270254565,0.0,1.0,-0.8950805909060544,0.12159863945578231,0.05144557823129252,0.12202380952380952,0.0,27,Weak
RUNE-USD,2352,0.5558032809327813,2157.5896291696267,-0.2787510983276525,0.001653739944437433,0.3089172870956438,0.3086232093454717,1050.4612705819966,8.29490300438894e-191,1751.665458700049,0.0,1.1100920847721425,3.6089959548571784,0.015990438147547307,-2.4045926581418153,0.3226828786016828,-2.8786773574795377,0.04788430970024851,87.88939463008373,4.833624052789797e-17,1.0,-0.721904160438447,0.125,0.03869047619047619,0.11989795918367346,0.01870748299319728,21,Weak
FLOW-USD,1960,0.11976536206892323,815.9461756760147,1.6111373400147682,0.0010620993608743867,0.014343741951500344,0.0138403424325787,28.49375379266938,1.049098444812794e-07,4572.646124811826,0.0,2.4454966426710936,5.68379787844777,0.006505273080106057,-2.7186840660842995,0.19293084209878136,-2.7776337572337746,0.06154033310090924,211.866419601487,0.0,1.0,-0.4308420155113171,0.12295918367346939,0.07193877551020408,0.0,0.0,20,Weak
AVAX-USD,2089,0.6055948514544114,13401.624152698872,-6.301204830329151,0.01426887725272968,0.3667451241080908,0.36644169580148234,1208.6714262334901,2.5514991424980134e-209,1215.7202367952202,1.022597698287649e-264,1.3534085650619059,2.5879692372843737,0.012184441994979745,-2.785899995372287,0.17021225475910523,-2.0990060800735755,0.24491444948181545,114.41715889533418,0.0,1.0,-0.5739877682236236,0.10483484921014839,0.07180469123982768,0.10292005744375299,0.0004786979415988511,19,Weak
BNB-USD,2352,0.8307077853818242,249253.87558989887,-10.242598640633702,0.19104702988746508,0.6900754246939749,0.6899435418959723,5232.490022546833,0.0,183.17212450829555,1.677561860211781e-40,0.682777306911984,0.08484026444710846,0.008846583491808857,-2.3837285451959604,0.33259976168683936,-1.9731712501602683,0.2984590219841987,193.02069963175143,-4.833624052789797e-17,1.0,1.9849073858278217,0.17431972789115646,0.055272108843537414,0.14243197278911565,0.004251700680272109,17,Weak
AXS-USD,2044,0.4271085624380232,11404.326358801534,-16.118719811628104,0.013178970246377025,0.18242172410787483,0.18202134297374561,455.6201792688414,2.0315757878085288e-91,2469.140021199399,0.0,1.7656494231330575,4.079857846071458,0.006306056555925694,-2.910109180060527,0.13314775114276167,-2.0105876798735607,0.2819501530049586,217.33929866646267,5.561978362114287e-17,1.0,-0.17501989858758457,0.12181996086105674,0.0474559686888454,0.07338551859099804,0.0,17,Weak
SUI-USD,810,-0.34143277223834706,-0.7256237388433205,0.007540228182211984,-1.4467424570208546e-06,0.11657633795836286,0.11548299184197475,106.62345273011007,1.4558259273087052e-23,224.68131169603296,1.6258222839551095e-49,1.1841808526732782,1.0477078633667185,0.029577108117790015,-1.7802593681818812,0.6392603385497111,-2.473012275823429,0.12217956112110401,38.493486409673565,-3.50885301609926e-17,1.0,-0.6117876146822832,0.1814814814814815,0.05308641975308642,0.0962962962962963,0.0,14,Weak
LINK-USD,2352,0.6432574338427338,5853.602730140839,4.15528832172979,0.004486644041493429,0.4137801261939391,0.4135306709284897,1658.7347853673252,7.565639348332913e-275,2397.602224551083,0.0,1.7677890903812092,3.471276974569472,0.01632837835500116,-1.9683523003359316,0.5449846134368206,-2.348278239290248,0.156869466510202,85.17559911998026,-4.833624052789797e-17,1.0,-0.6011368470687396,0.14795918367346939,0.0548469387755102,0.019982993197278913,0.0,13,Weak
MATIC-USD,1910,0.6825732398190002,432.1349422330133,0.04020074965221707,0.0003335046249444017,0.46590622771700607,0.4656263043562707,1664.4063807076764,3.752258749919477e-262,43.09729524412528,4.3806771280189074e-10,0.3682126273042374,-0.005010015827429992,0.014150352382448899,-1.9243431499255348,0.5676112333154684,-2.213323097006524,0.20144552559724566,104.00109806224285,8.928285684943668e-17,1.0,-1.2713850142895715,0.15968586387434555,0.02931937172774869,0.193717277486911,0.0,12,Weak
SAND-USD,2126,0.32996072130822657,362.29412646812455,-0.12598504244362682,0.00036508628170537944,0.10887407760624501,0.10845452679532519,259.5015306192433,3.576788560083903e-55,8868.559989683468,0.0,2.6725357313312945,8.483608813895069,0.009862986174495068,-2.745755600633427,0.18355516930260563,-2.5074063598515695,0.11368266170763025,141.64650033390336,0.0,1.0,-0.40487984367242824,0.08654750705550329,0.06114769520225776,0.04045155221072436,0.0,12,Weak
INJ-USD,2058,0.4876860362592718,4375.211969811365,-0.7401777222689045,0.00492560354551583,0.23783766996227973,0.2374669684398878,641.588058305435,2.001571404095283e-123,1062.5546457635728,1.8586187416538746e-231,1.4116223610741354,2.1133274375357427,0.009349380860895876,-2.707429910610822,0.19691781858215301,-1.8716123536335838,0.34553110081922056,148.6092030650455,-5.524141774616911e-17,1.0,-0.21446296253200725,0.13751214771622935,0.05782312925170068,0.11030126336248786,0.0,10,Weak
AAVE-USD,2077,0.5263671626792856,54690.78261819374,22.450471265069588,0.05948415960232002,0.2770623899470416,0.27671398627954613,795.2338502599094,2.180950236649267e-148,1199.9918169517084,2.661262929358258e-261,1.459292761487509,2.3236920891043855,0.011873962524166014,-2.6250871334431403,0.2276696464207938,-2.2418592554093677,0.19140509492687985,117.5900112484872,0.0,1.0,-0.627487335154174,0.14492055849783342,0.06307173808377467,0.08233028406355321,0.0,9,Weak
