ticker,n_obs,corr,cov,alpha,beta,r2,adj_r2,f_stat,f_pvalue,jb_stat,jb_pvalue,skew,kurt,dw_stat,coint_t,coint_p,adf_stat,adf_p,half_life,z_mean,z_std,z_current,z_gt1,z_gt2,z_lt_1,z_lt_2,score,rating
XRP-USD,2332,0.894244639983393,22329.605478444744,-0.17932103600455834,2.277210548905682e-05,0.7996734761390288,0.7995874990901615,9301.010986927751,0.0,256.4101865962173,2.095247970879256e-56,-0.6977034689087128,0.8375615070606122,0.018209371298369435,-3.0646697642903904,0.09562160091191313,-3.4920854519850493,0.008192698189328086,76.18682433738196,2.4375394022644946e-17,1.0,-0.6142625021915077,0.09519725557461406,0.014579759862778732,0.153516295025729,0.0716123499142367,70,Fair
BNB-USD,2332,0.9149487559605585,7531665.782281021,26.77057341318624,0.0076809188531336715,0.8371312260337738,0.8370613252724148,11975.995822644116,0.0,26.956799644027612,1.4008941844986808e-06,-0.22697739934345126,-0.26561383499336033,0.014849885950045114,-2.7197092964370797,0.1925702405145751,-2.9440715062099105,0.04045788379413326,92.41668105596166,-7.312618206793484e-17,0.9999999999999999,0.2555156402922889,0.13936535162950256,0.01072041166380789,0.145368782161235,0.026157804459691254,51,Weak
DOGE-USD,2332,0.6578866432841151,2052.4907318101586,0.02188863514741017,2.0931644092508082e-06,0.43281483541164056,0.43257140830237517,1778.0058955544475,3.0852184502720295e-289,6859.022665780072,0.0,2.198503814483746,7.179063696155623,0.022938310771115574,-2.299364798570597,0.3738697873123483,-3.8765087700787086,0.0022146949695357105,61.47915092553805,-2.4375394022644946e-17,1.0,-1.0723747948756048,0.1320754716981132,0.05917667238421955,0.07804459691252144,0.0,42,Weak
APT-USD,1311,-0.04050111849170293,-30.904214788006723,0.011328924713901272,-4.32438020030699e-08,0.0016403405990789155,0.0008776517836465159,2.1507337801316573,0.14274195595843855,101390.35583807355,0.0,5.797580696049143,41.65999059884864,0.007736470283061362,-0.020408364888345867,0.9854147830517189,-5.426073154929405,2.98526274994094e-06,15.979208743305326,-8.671764891046227e-17,0.9999999999999999,-0.23193077224405056,0.06636155606407322,0.038901601830663615,0.0,0.0,42,Weak
ICP-USD,1837,-0.10105897589645153,-79827.59628536478,19.593972631401694,-8.945636654283737e-05,0.010212916609239953,0.009673523103305048,18.934074097789143,1.4275716263472781e-05,482785.41276475287,0.0,7.233028188107634,78.30952398903561,0.026039148073144718,-1.5289585824698435,0.749921004434118,-3.3965723620640276,0.01107627600444844,8.626473232282946,0.0,1.0,-0.3851583476453449,0.0919978225367447,0.020685900925421885,0.0,0.0,41,Weak
BCH-USD,2332,0.5799862357902447,3382954.4603900593,192.49936023438602,0.0034499935930817622,0.336384033706137,0.33609921998669756,1181.066819281782,9.717039088149024e-210,10510.678304154386,0.0,2.197340683323786,9.450614635794844,0.024180852193219044,-2.0503619013388494,0.5023201074254843,-3.1961265755817636,0.02020998586534646,57.65156157835405,-4.875078804528989e-17,1.0,-0.573789570065412,0.13036020583190394,0.033876500857632934,0.09262435677530018,0.0,34,Weak
ARB-USD,2332,-0.14498358943366565,-1087.8616815034436,0.11558581903481317,-1.109419554797465e-06,0.0210202412050694,0.020600078218462103,50.028779009792714,1.995232376752072e-12,19926.545796779526,0.0,3.6861182709583926,12.308848597152725,0.02246022524100453,-1.4819044752213506,0.768065326380898,-3.6396463935404357,0.005046773660737178,61.49989468239639,0.0,0.9999999999999999,-0.12190537520463998,0.0604631217838765,0.0604631217838765,0.0,0.0,33,Weak
TRX-USD,2332,0.9159539425055755,2818.0578655071627,-0.01683767435280463,2.8739025886302884e-06,0.838971624791507,0.8389025139008596,12139.499533751185,0.0,1002.5106053343181,2.0304300248937357e-218,0.9334569846063705,2.6228715318980598,0.025953872420027144,-1.5474564721031585,0.7425485626764448,-0.8470271995275884,0.8049165514690292,70.63162272825875,-2.4375394022644946e-17,1.0,3.885237367043287,0.08104631217838765,0.046740994854202404,0.153516295025729,0.011149228130360206,29,Weak
XMR-USD,2332,0.7028791241562538,2083830.9278685404,92.30520152576904,0.0021251256658604725,0.4940390631746622,0.4938219125579989,2275.098596384995,0.0,1383.6074214156297,3.5765629999821693e-301,1.1350657658144538,3.0244562232032193,0.019367173916535214,-2.0336581596647267,0.5110435790597365,-2.7045133955692804,0.07326050560666275,78.30471441505082,-6.093848505661237e-17,1.0,2.191350415916962,0.13765008576329332,0.03945111492281304,0.13293310463121785,0.004288164665523156,24,Weak
MKR-USD,2332,0.46354519433115193,12884776.332872344,914.2027743907433,0.013140110609581094,0.21487414718750553,0.2145371833021783,637.6770821562232,1.431214183950284e-124,1662.035127794197,0.0,1.5429608394997874,2.764276111393359,0.016076463411081706,-1.6447881356088667,0.701620588644083,-2.9449526710573966,0.0403647911641235,85.2129269942217,2.4375394022644946e-17,1.0,-0.2855615840301168,0.16295025728987994,0.044596912521440824,0.025728987993138937,0.0,21,Weak
